N,Repeat1,Repeat2,Repeat3,Repeat4,Repeat5,Repeat6,Repeat7,Repeat8,Repeat9,Repeat10,
20000,0.203,0.346,0.343,0.264,0.22,0.245,0.257,0.279,0.284,0.182,
40000,0.524,0.523,0.546,0.435,0.4,0.398,0.413,0.419,0.555,0.375,
60000,0.637,0.943,1.016,0.661,0.643,0.639,0.646,0.646,0.978,0.639,
80000,0.898,0.922,1.047,0.918,0.903,0.901,0.911,0.9,1.101,0.895,
100000,1.149,1.142,1.202,1.176,1.166,1.179,1.172,1.162,1.179,1.13,
120000,1.385,1.361,1.432,1.423,1.42,1.417,1.415,1.431,1.414,1.413,
140000,3.608,4.821,4.814,5.143,5.118,5.03,4.957,4.787,4.949,5.285,
160000,7.791,9.366,9.215,9.248,9.173,9.22,9.229,9.085,9.147,9.417,
180000,9.413,9.913,10.17,9.938,9.954,9.888,9.809,10.155,9.82,10.043,
200000,10.024,10.764,10.766,11.062,10.708,11.15,11.007,10.689,10.934,10.682,
220000,10.73,11.595,11.559,11.601,11.981,11.742,11.544,11.448,11.532,11.633,
240000,11.687,12.427,12.411,12.458,12.281,12.583,12.253,12.508,12.455,12.786,
260000,12.368,13.482,13.288,13.301,13.329,13.34,13.289,14.919,13.278,13.284,
280000,10.987,11.465,11.751,11.701,11.268,11.3,11.25,11.479,11.696,11.594,
300000,9.022,9.798,9.87,10.008,9.295,9.298,9.314,9.227,9.363,9.561,
320000,9.536,10.556,10.589,10.671,10.035,10.038,10.033,10.583,10.521,10.623,
340000,10.274,12.517,11.491,11.526,10.896,10.859,10.861,11.349,11.412,10.967,
360000,11.141,12.211,12.23,12.293,11.627,11.631,11.571,12.039,12.102,12.243,
380000,12.191,12.948,12.774,12.608,12.887,12.919,12.893,12.965,13.049,13.106,
400000,13.661,13.168,13.177,13.326,13.831,13.176,13.819,13.901,13.946,13.795,